country_code,athletes,gdp_per_capita_ppp,population,pop_15_24,political_stability,econ_shocks_2010_23,disaster_deaths_2010_23,years_with_conflict_2010_23,bartik,log_athletes,log_gdp_pc,log_pop,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23
AUS,95,60684.9596204883,26659922.0,3185333.0484206644,0.9171,2.0,311.0,0.0,5.329358030694958,4.553876891600541,11.013451164144975,17.098671946979124,1.270715502585691,3.3953200402502577,5.7430031878094825
BEL,10,63095.4017281289,11779946.0,1313605.5399914188,0.4039,2.0,3632.0,0.0,4.79341487361631,2.302585092994046,11.052403173102622,16.28190915213646,-0.16381350117814125,2.0298094158756617,8.197814032221203
BHS,38,35221.2696932313,399440.0,58813.29895436987,1.0086,1.0,390.0,0.0,4.819186889752207,3.6375861597263857,10.469405431747681,12.897818845174491,4.555277872516169,6.470973436683765,5.968707559985366
BRA,7,19079.8122132253,211140729.0,32352362.801508307,-0.4086,4.0,2678.0,0.0,4.234607739451283,1.9459101490553132,9.856386102879698,19.168035431205283,-3.406614724185697,-1.5307769079109022,7.893198869544609
BRB,19,21318.6724772626,282336.0,36917.40970408126,1.1871,1.0,1.0,0.0,4.858203662621095,2.9444389791664403,9.967338609796233,12.550853130021832,4.209096407108883,6.243511010669673,0.6931471805599453
CAN,156,57517.4431587432,40083484.0,4564868.341340788,0.8224,2.0,945.0,0.0,5.0940036811318725,5.049856007249537,10.959843540063808,17.50647493711073,1.3588916281030816,3.531466334507715,6.852242569051878
CHE,12,82295.2993346568,8888822.0,901200.9771208994,1.0714,1.0,642.0,0.0,5.286587994389684,2.4849066497880004,11.318069268808655,16.000305090273624,0.30011211747865113,2.5889336359684068,6.466144724237619
CZE,31,47558.4106763314,10864042.0,991528.9593727996,0.9674,2.0,733.0,0.0,5.060720348399977,3.4339872044851463,10.76971393301194,16.20096899475252,1.0485287676968973,3.442494328296247,6.598509028614515
DEU,85,63039.3719696432,83287273.0,8452614.877141096,0.587,2.0,14862.0,0.0,5.104369278522694,4.442651256490317,11.051514762071653,18.23780631035019,0.020355504104399562,2.308175410075806,9.606630182148894
DZA,5,15159.3242373415,46164219.0,6040906.586720963,-0.5779,2.0,300.0,10.0,4.740209256253872,1.6094379124341003,9.6263710828296,17.647715575467508,-2.2227671050691353,-0.1891161853884069,5.707110264748875
EGY,7,16691.387399222,114535772.0,18977582.05318473,-0.8668,5.0,262.0,9.0,4.077601670043541,1.9459101490553132,9.722648140775691,18.556397751379823,-2.7949770443602344,-0.9973482415529772,5.572154032177765
ESP,72,47322.5937004504,48352528.0,4747927.1067807805,0.2873,3.0,19801.0,0.0,5.155819334516671,4.276666119016055,10.764743128518573,17.694029063915565,0.39814761306476576,2.718957994791542,9.89353822168246
EST,12,41288.6165892158,1370286.0,128363.51937243353,0.6605,3.0,278.0,0.0,4.188552229481097,2.4849066497880004,10.628342113577155,14.130530035141241,2.169887172611033,4.53779569492029,5.631211781821365
FIN,6,56250.8787899319,5583911.0,611711.3758806713,0.714,2.0,363.0,0.0,4.830259657981801,1.791759469228055,10.937576942876753,15.535399984901913,0.07187004229041671,2.283254184978032,5.8971538676367405
FRA,64,54296.7230897731,68372286.0,8153466.003622076,0.3437,2.0,14401.0,0.0,5.0441024299576664,4.1588830833596715,10.902219155846359,18.040478125048434,-0.06608448372448948,2.0604399699932823,9.575122364808813
GBR,203,52592.6822066393,68492000.0,7868562.603275329,0.5149,1.0,9667.0,0.0,5.127529993441526,5.313205979041787,10.87033226750072,18.042227508091,1.0864890289150626,3.250330575825378,9.176576741823373
GHA,21,6808.53775165029,33787914.0,6057774.119105352,-0.0216,6.0,233.0,0.0,4.859643590490057,3.044522437723423,8.825932655331558,17.335613722543936,-0.4755807268562392,1.2431800121942924,5.455321115357702
GRC,14,36700.5134631055,10407351.0,1088732.4422298225,0.2397,3.0,7639.0,0.0,4.4350782286648345,2.6390573296152584,10.510546024765103,16.15802294135018,0.2965449462293554,2.5540432071004897,8.941152882160566
IND,12,9301.75603225735,1438069596.0,257476344.46348223,-0.6351,1.0,30537.0,14.0,4.73180893889121,2.4849066497880004,9.1379584819898,21.08656749284882,-4.786150285096544,-3.0660211999346023,10.326727088743457
IRL,32,117862.128878959,5311538.0,640287.1025366541,0.9019,1.0,93.0,0.0,5.030821099774087,3.4657359027997265,11.6772708210063,15.485391993464479,1.7958544672995214,3.9115745083044966,4.543294782270004
ISR,17,47527.151024672,9849000.0,1399068.634389592,-1.4648,1.0,69.0,10.0,4.96562205058562,2.833213344056216,10.769056427240791,16.10288048515184,0.5458434168686508,2.4974065899696845,4.248495242049359
ITA,37,52870.3261442897,58984216.0,5827728.662711018,0.5833,2.0,31350.0,0.0,4.850402989128762,3.6109179126442243,10.875597518007323,17.892780440654956,-0.4663519700464564,1.8482905829258123,10.353001443478973
JAM,133,11398.8120394641,2839786.0,499212.1988051337,0.3848,1.0,16.0,0.0,4.743494165663528,4.890349128221754,9.3412644218881,14.8592392551856,3.846620431000428,5.585073153738243,2.833213344056216
JPN,9,45858.6595131439,124516650.0,11924544.892350242,0.9511,3.0,22268.0,0.0,4.788460668506537,2.1972245773362196,10.733319326005274,18.639949999867074,-2.6272148645665823,-0.2813742945464136,10.010950855785657
KEN,188,5691.82513474417,55339003.0,10761145.422137422,-0.9378,2.0,1350.0,9.0,5.54929719208162,5.236441962829949,8.646786237505259,17.828988516259066,1.2229640045351562,2.8604999618904015,7.208600337960199
LVA,13,37277.7217221317,1883710.0,176396.30966122134,0.5911,3.0,173.0,0.0,5.04251358035288,2.5649493574615367,10.526151154328312,14.44875379445718,1.9317061209686306,4.299971413377676,5.159055299214529
MAR,11,8915.3515625,37712505.0,5958067.384227087,-0.3678,2.0,3111.0,0.0,5.393922509193645,2.3978952727983707,9.095529964460814,17.44550229503148,-1.2320964642688352,0.6131491086976063,8.043020885298283
MEX,15,21917.24858366,129739759.0,22085743.766272098,-0.6308,3.0,1557.0,0.0,5.19880686683841,2.70805020110221,9.995029212365123,18.681041148186182,-2.1574803891196974,-0.3868821208196466,7.351158226430694
NGA,70,7843.83461990405,227882945.0,42146398.71936021,-1.7684,5.0,2158.0,13.0,4.879388734960139,4.248495242049359,8.967483103450942,19.244342655961454,-1.1803368559478207,0.5073460008872502,7.677400430514807
NLD,28,70198.9297909022,17877117.0,2149669.905536712,0.6583,2.0,1748.0,0.0,4.43714616393152,3.332204510175204,11.159088344753851,16.699032073098078,0.4486829950414001,2.5668902121314296,7.466799475018602
NOR,19,90085.4382059786,5519601.0,658278.7766078798,0.8929,2.0,74.0,0.0,4.420239097721594,2.9444389791664403,11.408513812399168,15.523816133032069,1.2361334040986458,3.3625657438908263,4.31748811353631
NZL,55,49508.2697230172,5200000.0,649758.6720295167,1.3586,2.0,225.0,0.0,5.148039688453985,4.007333185232471,10.809894999714418,15.464169183551656,2.358674559645089,4.43848744406485,5.420534999272286
POL,14,43672.7668014946,36687353.0,3792908.9141362393,0.5596,3.0,2238.0,0.0,4.89276093310614,2.6390573296152584,10.684480001502509,17.417942648730254,-0.9633747611507192,1.3059240813976756,7.713784616598755
PRT,10,41768.2549192626,10578174.0,1086527.781575207,0.7126,2.0,3822.0,0.0,5.41091982009492,2.302585092994046,10.639891878291037,16.174303379707034,-0.05620772874871516,2.219598002818098,8.248790733696413
SRB,11,25735.2402009063,6623183.0,712625.2323187543,-0.0391,3.0,1138.0,0.0,5.0406700923013945,2.3978952727983707,10.155616545670897,15.706086628068325,0.5073192026943185,2.736694890424599,7.037905963447182
SWE,37,62662.7652797761,10536632.0,1162769.9604451207,0.7584,3.0,61.0,0.0,4.891584049837521,3.6109179126442243,11.045522695032195,16.170368505420207,1.2560599651882904,3.460112857085865,4.127134385045092
TTO,18,31196.603554718,1367510.0,175395.55748041655,0.4014,2.0,0.0,0.0,4.868010892640141,2.8903717578961645,10.348064507446143,14.128502125865795,2.577380189994643,4.631083285194748,0.0
TUN,5,12650.9615158166,12200431.0,1663909.7853980276,-0.631,3.0,16.0,4.0,5.3250079168642035,1.6094379124341003,9.445488500422579,16.316981836948322,-0.8920333665499485,1.1002677870107902,2.833213344056216
ZAF,50,13695.3755694076,63212384.0,10267727.29901588,-0.6656,5.0,1014.0,0.0,4.986343047188456,3.912023005428146,9.524813505155223,17.962010789288605,-0.23447722589618458,1.583017301106964,6.922643891475888
ZWE,14,5218.02266462129,16340822.0,3083227.320866264,-0.9344,7.0,1090.0,0.0,4.782996779475178,2.6390573296152584,8.559873809232908,16.60917695212838,-0.154609064548846,1.5130804497718757,6.994849985833071
