country_code,pop_15_24_avg_2018_22
ABW,12752.057100323413
AFE,139272786.94015768
AFG,8383518.899988594
AFW,93009086.0808756
AGO,6208413.763347125
ALB,376176.27219689277
AND,8329.022224925155
ARB,79622714.15527833
ARE,1338245.5069542467
ARG,6975063.001169843
ARM,351554.51662832993
ASM,8398.983818080218
ATG,13696.610916504409
AUS,3185333.0484206644
AUT,950452.4307411049
AZE,1366122.7829576065
BDI,2282218.145716372
BEL,1313605.5399914188
BEN,2548293.999435945
BFA,4278599.280751927
BGD,32758243.93921728
BGR,592399.9472084101
BHR,198708.65948395524
BHS,58813.29895436987
BIH,358107.68218660605
BLR,909017.1094147346
BLZ,77632.69993623388
BMU,6603.910821712756
BOL,2239971.4181935927
BRA,32352362.801508307
BRB,36917.40970408126
BRN,73809.4664232826
BTN,145986.60073186777
BWA,488407.3616870465
CAF,1110635.0374684883
CAN,4564868.341340788
CEB,10169369.699696505
CHE,901200.9771208994
CHI,17715.03828476054
CHL,2703784.4851266826
CHN,161985961.8398347
CIV,5325946.781666751
CMR,5118190.661279958
COD,18422647.81919477
COG,1045280.8183466431
COL,8606126.06765081
COM,153858.96197751054
CPV,89880.87951879995
CRI,769743.6109252343
CSS,703414.9211362666
CUB,1340827.4878428152
CUW,22296.570500493654
CYM,7247.901013889181
CYP,147233.07640448306
CZE,991528.9593727995
DEU,8452614.877141096
DJI,219155.38191612437
DMA,9616.75671293264
DNK,725083.462412166
DOM,1949777.0000990375
DZA,6040906.586720963
EAP,277038716.0596093
EAR,614241502.8861922
EAS,303168082.68531
ECA,34359952.49760263
ECS,105433637.51922439
ECU,3141410.5009876783
EGY,18977582.05318473
EMU,37047357.79582795
ERI,715382.5979348515
ESP,4747927.1067807805
EST,128363.51937243351
ETH,25450616.277643092
EUU,47352046.88492595
FCS,192086522.67969462
FIN,611711.3758806713
FJI,153403.3831236053
FRA,8153466.003622076
FRO,6772.903389395935
FSM,23184.7594376588
GAB,404044.4342196782
GBR,7868562.603275329
GEO,419477.93435002473
GHA,6057774.119105352
GIB,4373.676367925191
GIN,2753773.6009365334
GMB,509307.29999023664
GNB,404600.4998520628
GNQ,284602.26643049676
GRC,1088732.4422298225
GRD,17558.199118930337
GRL,7577.990454948906
GTM,3656946.4766123965
GUM,23984.28512643
GUY,153719.49978185972
HIC,159729906.405342
HKG,646992.4353592115
HND,2080456.7586637647
HPC,171357862.4310277
HRV,405130.23173206823
HTI,2216505.8814748093
HUN,1017274.0784192011
IBD,736192694.0728776
IBT,1090139218.0104964
IDA,353946523.9376188
IDB,122445883.88361704
IDN,44491324.71486739
IDX,231500640.05400187
IMN,8865.320221310893
IND,257476344.46348223
IRL,640287.1025366541
IRN,11721361.613315057
IRQ,8302493.842171216
ISL,48168.4654113434
ISR,1399068.634389592
ITA,5827728.662711018
JAM,499212.1988051337
JOR,2020436.3812083502
JPN,11924544.892350242
KAZ,2518776.411366486
KEN,10761145.422137422
KGZ,1084771.659128971
KHM,2879082.734658594
KIR,23086.554897434075
KNA,6804.385506540726
KOR,5898916.330585813
KWT,472184.52634405316
LAC,96661838.93510365
LAO,1437844.2395493402
LBN,969579.9340593008
LBR,1023282.5994346334
LBY,1187383.9509827525
LCA,28890.06874453394
LCN,107054056.29926798
LDC,216923019.6297412
LIC,112028358.92317398
LIE,4171.233946733416
LKA,3331168.3051523096
LMC,550883345.6642563
LMY,1039756913.9435562
LSO,444875.38062809163
LTE,285620094.21320456
LTU,289241.04735097464
LUX,71823.08604155753
LVA,176396.30966122134
MAC,74132.4234910627
MAF,4045.5981946975908
MAR,5958067.384227087
MCO,3191.676930994688
MDA,280500.4042059191
MDG,5959376.599793447
MDV,76996.80674075845
MEA,133870677.74886544
MEX,22085743.766272098
MHL,8232.499750412331
MIC,927728555.0203825
MKD,224623.77008857968
MLI,4253023.038929137
MLT,53044.37117954167
MMR,9043088.517397756
MNA,124960580.04542455
MNE,77677.9919261215
MNG,459423.0817250196
MNP,6796.799997101145
MOZ,6242775.479126777
MRT,886919.9614189107
MUS,189348.4098638147
MWI,4082520.2187038315
MYS,5968983.118490711
NAC,48010649.3351007
NAM,515078.5170084353
NCL,41759.48704089384
NER,4702052.560899583
NGA,42146398.71936021
NIC,1252019.1170423548
NLD,2149669.905536712
NOR,658278.7766078798
NPL,6129846.001706986
NRU,2034.2989927590472
NZL,649758.6720295167
OED,171959066.55203182
OMN,586726.0960401266
OSS,1994651.7710049883
PAK,46771316.71950174
PAN,701050.767046065
PER,5547453.300621739
PHL,21513988.18175014
PLW,2070.788647623677
PNG,1904058.3795487154
POL,3792908.9141362393
PRE,199359050.9317986
PRI,405131.4862726509
PRK,3713028.3850980513
PRT,1086527.7815752067
PRY,1194628.8002820588
PSE,935941.2096787237
PSS,465591.8414281004
PST,127398835.16322795
PYF,41946.80049501177
QAT,294805.74000105326
ROU,2022723.767104052
RUS,14234035.214523247
RWA,2602619.600973553
SAS,299918586.11703146
SAU,4567314.169048281
SDN,9686379.00034014
SEN,3421784.800355756
SGP,959204.1598244708
SLB,143502.9809408324
SLE,1626871.520447822
SLV,1265266.1990847248
SMR,3439.6091156900984
SOM,3353188.7210508534
SRB,712625.2323187543
SSA,206817240.2887849
SSD,2108363.9790324755
SSF,232281873.02103314
SST,3163658.533569355
STP,42773.31860912104
SUR,108787.1360476398
SVK,555249.5674787714
SVN,198153.35786033564
SWE,1162769.9604451207
SWZ,244671.9574294026
SXM,4426.5320222249775
SYC,14016.454605228017
SYR,4611217.50242934
TCA,5409.813193576998
TCD,3368188.71956751
TEA,273329792.7621516
TEC,55407150.57230665
TGO,1649634.4814591142
THA,9551665.927251581
TJK,1774904.2643916917
TKM,1122028.667827191
TLA,105177176.70222764
TLS,286226.49977946485
TMN,124024638.83574586
TON,20009.0372076671
TSA,299918586.11703146
TSS,232281873.02103314
TTO,175395.55748041655
TUN,1663909.7853980276
TUR,13124275.306289356
TUV,1850.9176887152378
TZA,12334336.23922454
UGA,9741218.134347752
UKR,4080414.4915870368
UMC,376845209.3561262
URY,494926.82918788993
USA,43439177.08293821
UZB,5258068.1822655825
VCT,15583.298232223427
VEN,4800126.099291524
VGB,4520.413431984806
VIR,11408.438513305995
VNM,13342553.685870128
VUT,52109.386766954856
WLD,1229737562.7258332
WSM,36107.23397443757
XKX,320829.81847274414
YEM,7197708.800642574
ZAF,10267727.29901588
ZMB,3877599.9598998586
ZWE,3083227.320866264
